"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"FRANCISCAN RESTAURANT","1 2ND AVE","SAN FRANCISCO",94118,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SPICE KIT","405 HOWARD ST # 310","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"SUSHIRRITO SOMA","59 NEW MONTGOMERY ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"PRIMA CAFE","215 FREMONT ST # 5B","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",1,72,"CA"
"BLUESTEM BRASSERIE","1 YERBA BUENA LN","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",70,4982,"CA"
"TRACE","181 3RD ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"MIXT","560 MISSION ST # 125","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"PAZZIA RESTAURANT","337 3RD ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",9,641,"CA"
"SPECIALTY'S CAFE & BAKERY","500 HOWARD ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GYRO KING","88 2ND ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",6,427,"CA"
