"trt10","tpop","pyoung","pcol","minc","mhval","mrent","pwht","pblk","pasian","phisp","tpop17","pyoung17","pcol17","minc17","mhval17","mrent17","pwht17","pblk17","pasian17","phisp17","gentcat"
12401,4652,40.189999,30.32,29934.7283295248,1093285.22946323,821.914337682879,38.360001,8.2399998,27.1,20.48,4667,24.43,29.309999,32571,NA,1003,32.080002,11.16,25.280001,27.040001,"non-gentrifying"
12402,3536,40.189999,30.32,29934.7283295248,1093285.22946323,821.914337682878,38.360001,8.2399998,27.1,20.48,4662,43.689999,55.43,60356,868800,1407,33.16,8.3900003,31.530001,21.690001,"gentrifying"
12501,3778,19.620001,13.69,18191.0245873612,0,556.451126608758,28.889999,14.48,36.119999,12.99,4293,18.68,36.139999,24956,656300,788,23.57,9.2200003,33.59,27.790001,"gentrifying"
12502,3930,19.620001,13.69,18191.0245873612,0,556.451126608758,28.889999,14.48,36.119999,12.99,3674,11.38,13.91,16129,NA,526,19.790001,14.86,39.279999,16.110001,"non-gentrifying"
12601,2311,42.790001,74.459999,130430.052304455,1166387.7076366,2065.07733138236,84.919998,0.52999997,8.8699999,3.4000001,2516,39.150002,82.889999,149485,1765000,2674,76.029999,2.46,11.61,9.46,"non-gentrifiable"
12602,2604,42.790001,74.459999,130430.052304455,1166387.7076366,2065.07733138236,84.919998,0.52999997,8.8699999,3.4000001,2844,41.630001,85.309998,158109,2000001,2608,75.879997,0.46000001,17.440001,3.9000001,"non-gentrifiable"
12700,3498.71589840075,41.580002,77.599998,138381.787333531,1315801.31414119,2309.41085860398,84.440002,0.2,9.4700003,3.52,4092,35.529999,85.599998,153615,1977600,2535,77.389999,0.88,9.3800001,7.21,"non-gentrifiable"
12800,4207.28410159925,38.369999,76.760002,156076.810195129,1488732.21233689,1826.46209220852,84.410004,0.40000001,9.0500002,3.6600001,4556,38.59,79.519997,182368,2000001,2285,78.470001,0.039999999,8.1899996,11.65,"non-gentrifiable"
12901,2561,48.84,69.839996,105370.582198268,972044.334035348,1697.73901466394,80.93,0.79000002,10.71,4.8899999,2783,44.700001,90,154798,1229800,2292,77.18,0.039999999,13.12,5.3899999,"non-gentrifiable"
12902,3145,48.84,69.839996,105370.582198268,972044.334035348,1697.73901466394,80.93,0.79000002,10.71,4.8899999,3865,56.82,82.150002,132563,2000001,2527,79.199997,2.1500001,9.1300001,6.1599998,"non-gentrifiable"
13000,4130,44.290001,75.739998,154583.162754555,1284436.86180088,1831.62262752076,83.540001,0.44,9.8999996,3.8,4719,52.490002,88.440002,170792,2000001,2520,83.279999,0,8.54,5.21,"non-gentrifiable"
13101,3616,41.669998,76.050003,122799.271041,913357.614605639,2071.46756820878,81.150002,1.5599999,10.64,4.25,4061,48.950001,86.720001,181161,1176100,2633,71.900002,2.0899999,15.49,7.1399999,"non-gentrifiable"
13102,2851,41.669998,76.050003,122799.271041,913357.614605638,2071.46756820878,81.150002,1.5599999,10.64,4.25,3012,41.77,87.540001,171333,1687500,2563,65.440002,0.30000001,18.889999,7.9299998,"non-gentrifiable"
13200,4436,29.190001,80.75,172948.665851357,1488732.21233689,2367.18934011674,85.029999,1.1,9.2399998,3.04,4292,24.25,91.75,204909,2000001,2832,68.57,2.6800001,18.48,7.8099999,"non-gentrifiable"
13300,4145,27.549999,77.489998,178198.601144907,1488732.21233689,1825.61925065467,85.720001,1.01,7.9400001,2.6300001,4634,18.709999,82,166103,2000001,1762,72.139999,1.64,13.29,7.3400002,"non-gentrifiable"
13400,3665,40.16,83.650002,127999.195660218,1369738.85737659,1942.81090512842,82.019997,2.76,9,3.8199999,3742,33.400002,88.029999,194412,2000001,2581,67.209999,0.88,16.860001,7.3800001,"non-gentrifiable"
13500,2666,39.610001,72.279999,120873.41026211,1064542.86719768,1605.9910547849,79.519997,1.91,11.4,4.1300001,2606,27.780001,80.129997,153148,1712800,1862,62.889999,2.3800001,22.49,5.9899998,"non-gentrifiable"
15100,2420,34.919998,60.75,87461.970045843,621487.31063598,1448.92206405694,66.739998,2.4000001,22.23,5.3299999,2624,41.5,80.5,107568,898800,2226,49.889999,2.5899999,37.27,5.6399999,"gentrifying"
15200,3857,39.150002,61.27,84377.6400663414,790204.153769589,1464.28262307981,65.489998,4.8000002,21.91,4.1999998,4277,37.34,66.989998,101475,1203100,2065,57.66,4.3499999,24.5,9.2399998,"non-gentrifying"
